Process,document_title,Text,label
GPT_6,GDPR  ,"The data subject shall have the right to obtain from the controller without undue delay the rectification of inaccurate personal data concerning him or her. Taking into account the purposes of the processing, the data subject shall have the right to have incomplete personal ",1
GPT_6,GDPR  ,"The controller shall communicate any rectification or erasure of personal data or restriction of processing carried out in accordance with Article 16,”",1
GPT_6,GDPR  ,"Where a type of processing in particular using new technologies, and taking into account the nature, scope, context and purposes of the processing, is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall, prior to the processing, carry out an assessment of the impact of the envisaged processing operations on the protection of personal data.",0
GPT_6,GDPR  ,A single assessment may address a set of similar processing operations that present similar high risks.,0
GPT_6,GDPR  ,"The controller shall seek the advice of the data protection officer, where designated, when carrying out a data protection impact assessment.",0
GPT_6,GDPR  ,"A data protection impact assessment referred to in paragraph 1 shall in particular be required in the case of a systematic and extensive evaluation of personal aspects relating to natural persons which is based on automated processing, including profiling, and on which decisions are based that produce legal effects concerning the natural person or similarly significantly affect the natural person.",0
GPT_6,GDPR  ,"A data protection impact assessment referred to in paragraph 1 shall in particular be required in the case of processing on a large scale of special categories of data referred to in Article 9(1), or of personal data relating to criminal convictions and offences referred to in Article 10.",0
GPT_6,GDPR  ,A data protection impact assessment referred to in paragraph 1 shall in particular be required in the case of a systematic monitoring of a publicly accessible area on a large scale.,0
GPT_6,GDPR  ,The supervisory authority shall establish and make public a list of the kind of processing operations which are subject to the requirement for a data protection impact assessment pursuant to paragraph 1.,0
GPT_6,GDPR  ,The supervisory authority shall communicate those lists to the Board referred to in Article 68.,0
GPT_6,GDPR  ,The supervisory authority may also establish and make public a list of the kind of processing operations for which no data protection impact assessment is required,0
GPT_6,Coffe House Five Employee Handbook,"CONTINUOUS IMPROVEMENT: Strives to improve, even when already successful. ACCOUNTABILITY: “Own” your job performance and behavior.",0
GPT_6,Coffe House Five Employee Handbook,HONESTY: Trustworthiness is an essential characteristic for employment with Coffeehouse Five. ,0
GPT_6,Coffe House Five Employee Handbook,"As an employee you are entitled to a discount on food, beverages and merchandise (in addition to the free food and beverage item while on shift). Food and beverage discount is 50%, including bulk coffee. You are entitled to this discount whether you are on shift or just visiting the coffeehouse when not on shift. However the discount is individual to each employee. Please do not purchase food and beverages for others using this discount. Merchandise discount is 20% on all items, except any that are on clearance. ",0
GPT_6,Online Safety Act 2021,"(1) If:(a) material is, or has been, provided on: 
(i) a social media service; or
(ii) a relevant electronic service; or 
(iii) a designated internet service; and 
(b)  the Commissioner is satisfied that the material is or was cyber-abuse material targeted at an Australian adult; and 
(c)  the material was the subject of a complaint that was made to the provider of the service; and 
(d)  if such a complaint was made—the material was not removed from the service within: ",0
GPT_6,Online Safety Act 2021,"(2)  So far as is reasonably practicable, the material must be identified in the removal notice in a way that is sufficient to enable the hosting service provider to comply with the notice. ",0
GPT_6,Online Safety Act 2021,"(3)  If the Commissioner decides to refuse to give a removal notice under subsection (1), the Commissioner must give written notice of the refusal to the person who made the complaint to the Commissioner under section 36. ",0
GPT_6,Quest Coffee Roaster Handbook,"Roasting coffee is more than merely achieving a given roast level. There is a considerable nuance of flavour created by varying other aspects of the roast. For example, one might shorten or lengthen the time to get to the desired drop temperature. Or one might shorten or extend only a portion of the process. Additionally, one might use different blower settings. ",0
GPT_6,Quest Coffee Roaster Handbook,"Controlling the roaster to obtain the desired result consistently is called profiling. Profile on the Quest by adjusting the heater and the blower to make changes as the roast progresses. When using the roaster, it is good to keep a log of the bean type, charge size, control settings, and times to reach the roasting stages to duplicate subsequent batches. A typical roasting and cupping form is annexed. ",0
GPT_6,Quest Coffee Roaster Handbook,"By switching the Quest over to thermocouples connected to a computer, one can graph this process using software applications (see the section on Modifications). Successful profiles can be stored and used as a template. Here are two suggested profiles from the manufacturer from which to start. ",0
